Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.35870676795757E-06,0.0094305156131449,-0.0127789557984148,0,0,0,0.0817321686986618,4.54053575256145E-05,-4.62356645935577E-09,2.44863810757998E-08,7.92968464875771E-05,-6.84339571394891E-07,4.56970572733688E-05,0,0,0,0,0,0,package://lono/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/base_link.STL,,身体-v3-1;前胸-v2-2;后背-v2-2;头-v2-1;头盖-1;显示屏-1;脖子-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00155704138049143,0.00756389632694045,1.11888450865516E-08,0,0,0,0.00476544595949618,3.59211519577302E-07,-3.89835171758286E-08,1.53242926902873E-12,1.24926163447168E-06,3.22034888752399E-13,1.36867204846888E-06,0,0,0,0,0,0,package://lono/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link1.STL,,肩膀-v2-2,Origin_rightShoulder,基准轴1,rightShoulder,revolute,0.03525,0.006,-0.0225,3.1416,-0.061032,1.5708,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link2,0.0174999999999999,0.000106912131298625,-0.000599963478011563,0,0,0,0.0223939561935122,2.20304214500323E-06,4.41052702613274E-21,2.81373757166038E-20,4.31549369889667E-06,5.4443418010377E-09,3.14768180987024E-06,0,0,0,0,0,0,package://lono/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link2.STL,,arm-1;SG90-6;SG90-5,Origin_rightElbow,基准轴2,rightElbow,revolute,0,0.02,0,-1.5708,1.5613,-1.5708,link1,0,0,-1,100,1,-1.07,1.07,,,,,,,,
link3,-0.000645710937073225,-0.0177198064022607,0.000808381938847594,0,0,0,0.00816598274942115,6.06279790478533E-07,-2.47933268180858E-08,2.33874464224115E-09,1.70437091175603E-06,4.77946268723085E-08,1.97438662048862E-06,0,0,0,0,0,0,package://lono/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link3.STL,,手-v2-2,Origin_rightWrist,基准轴3,rightWrist,revolute,0.035,0,0,1.5587,-1.5708,0,link2,-1,0,0,100,1,-1.07,1.07,,,,,,,,
link4,0.00155704138049288,0.00756389632694142,1.11888465194332E-08,0,0,0,0.00476544595949617,3.59211519577301E-07,-3.89835171758288E-08,1.53242944011367E-12,1.24926163447168E-06,3.22034895483685E-13,1.36867204846888E-06,0,0,0,0,0,0,package://lono/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link4.STL,,肩膀-v2-1,Origin_leftShoulder,基准轴4,leftShoulder,revolute,-0.03525,0.006,-0.0225,0,-0.011897,1.5708,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link5,-0.017500000000001,0.00010691213130111,-0.000599963478009599,0,0,0,0.0223939561935122,2.20304214500323E-06,2.355479512306E-19,-5.64137177761165E-22,4.31549369889668E-06,5.44434180107365E-09,3.14768180987024E-06,0,0,0,0,0,0,package://lono/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link5.STL,,arm-2;SG90-7;SG90-8,Origin_leftElbow,基准轴5,leftElbow,revolute,0,0.02,0,-1.5708,1.5437,-1.5708,link4,0,0,-1,100,1,-1.07,1.07,,,,,,,,
link6,-0.000645710937071803,-0.0177198064022607,-0.000808381938847517,0,0,0,0.00816598274942115,6.06279790478531E-07,-2.47933268180855E-08,-2.33874464224113E-09,1.70437091175603E-06,-4.77946268723084E-08,1.97438662048862E-06,0,0,0,0,0,0,package://lono/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link6.STL,,右手-v2-1,Origin_leftWrist,基准轴6,leftWrist,revolute,-0.035,0,0,-1.7194,-1.5708,0.15999,link5,-1,0,0,100,1,-1.07,1.07,,,,,,,,
link7,-0.00183150299939402,-6.17561557447743E-16,0.0310901743312165,0,0,0,0.0240848296985867,5.54703139736069E-06,-5.69100261436483E-22,-4.17650546187686E-08,8.26645791373806E-06,-4.05835488033829E-22,4.74175196354046E-06,0,0,0,0,0,0,package://lono/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link7.STL,,腿-1;SG90-10,Origin_rightHip,基准轴7,rightHip,revolute,0.024,0.006,0.03175,0,0,-1.5539,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
link8,-0.0450365829354736,0.00575716068978066,0.0306262975673793,0,0,0,0.0175353489272895,7.60744187238841E-06,-6.8697978613246E-07,8.63021430175223E-08,1.06134504185981E-05,1.13734845825163E-07,4.50203500096417E-06,0,0,0,0,0,0,package://lono/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link8.STL,,右脚-1,Origin_rightAnkle,基准轴8,rightAnkle,revolute,-0.0305,-0.031,0.065,-1.5708,0,-1.5708,link7,0,0,0,0,0,0,0,,,,,,,,
link9,-0.00183150299939345,1.48318857196017E-16,0.0310901743312164,0,0,0,0.0240848296985867,5.5470313973607E-06,-7.14684049245816E-22,-4.17650546187705E-08,8.26645791373807E-06,-1.37725571990079E-22,4.74175196354046E-06,0,0,0,0,0,0,package://lono/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://lono/meshes/link9.STL,,腿-2;SG90-9,Origin_leftHip,基准轴9,leftHip,revolute,-0.024,0.006,0.03175,0,0,-1.6161,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
