Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.032166,0.04144,0.042913,0,0,0,0.03409,2.3815E-05,-4.0203E-09,2.5321E-08,4.1784E-05,1.523E-07,2.3616E-05,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/base_link.STL,,身体-v3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0068988,0.005603,2.2045E-08,0,0,0,0.0030944,2.0716E-07,1.1956E-07,7.5729E-13,5.2448E-07,1.6914E-13,5.6441E-07,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link1.STL,,肩膀-2,Origin_right_shoulder,Axis_right_shoulder,right_shoulder,continuous,0.067387,-0.023131,0.033512,0,-0.9883,-1.5708,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link2,0.0175,0.00010691,-0.0011,0,0,0,0.022394,2.203E-06,-1.0323E-21,-4.2352E-22,4.3155E-06,5.4443E-09,3.1477E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link2.STL,,arm-1;SG90-6;SG90-5,Origin_right_elbow,Axis_right_elbow,right_elbow,continuous,0,0.02,0,1.5708,1.288,1.5708,link1,0,0,1,100,1,-1.07,1.07,,,,,,,,
link3,0.013053,0.00077138,0.0089554,0,0,0,0.0067407,4.0275E-07,2.1529E-07,-1.8976E-08,1.104E-06,3.6912E-08,1.2348E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link3.STL,,hand-1,Origin_right_wrist,,right_wrist,fixed,0.052463,0.012612,-0.0165,1.3258,-1.5708,0,link2,0,0,0,100,1,-1.07,1.07,,,,,,,,
link4,-0.0068988,0.005603,2.2045E-08,0,0,0,0.0030944,2.0716E-07,1.1956E-07,7.5729E-13,5.2448E-07,1.6914E-13,5.6441E-07,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link4.STL,,肩膀-1,Origin_left_shoulder,Axis_left_shoulder,left_shoulder,continuous,-0.0031133,-0.023131,0.033512,3.1416,-1.3448,-1.5708,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link5,-0.0175,0.00010691,-0.0011,0,0,0,0.022394,2.203E-06,9.6946E-22,1.0092E-22,4.3155E-06,5.4443E-09,3.1477E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link5.STL,,arm-2;SG90-7;SG90-8,Origin_left_elbow,Axis_left_elbow,left_elbow,continuous,0,0.02,0,-1.5708,0.016747,-1.5708,link4,0,0,1,100,1,-1.07,1.07,,,,,,,,
link6,0.00364,-0.019114,0.00094355,0,0,0,0.0068255,4.1195E-07,-2.2736E-07,2.0222E-08,1.1246E-06,3.7653E-08,1.264E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link6.STL,,left_hand-1,Origin_left_wrist,Axis_left_wrist,left_wrist,continuous,-0.035,0,0,1.7133,1.5708,0,link5,1,0,0,100,1,-1.07,1.07,,,,,,,,
link7,-0.0018315,-5.3429E-16,0.03109,0,0,0,0.024085,5.547E-06,-2.0514E-22,-4.1765E-08,8.2665E-06,-2.1879E-22,4.7418E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link7.STL,,腿-1;SG90-10,Origin_right_hip,Axis_right_hip,right_hip,continuous,0.056137,-0.077381,0.033512,1.5708,1.5539,0,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
link8,-0.014037,-0.017243,0.0001263,0,0,0,0.017535,7.6074E-06,-6.8698E-07,8.6302E-08,1.0613E-05,1.1373E-07,4.502E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link8.STL,,右脚-1,Origin_right_ankle,Axis_right_ankle,right_ankle,continuous,0,0,0.042,-1.5708,-0.204,-1.5708,link7,0,0,1,100,1,-1.07,1.07,,,,,,,,
link9,-0.00183150299939141,-4.16333634234434E-16,0.0310901743312164,0,0,0,0.0240848296985867,5.5470313973607E-06,-9.26442286059391E-22,-4.17650546187708E-08,8.26645791373807E-06,2.27474668452083E-23,4.74175196354046E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link9.STL,,腿-2;SG90-9,Origin_left_hip,Axis_left_hip,left_hip,continuous,0.0081367,-0.077381,0.033512,-1.5708,1.5254,-3.1416,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
link10,0.0140365865061575,-0.0172428392680891,0.000126300206101305,0,0,0,0.0175353461947104,7.60744266392081E-06,6.86979952414671E-07,-8.63012337015799E-08,1.06134493293437E-05,1.13735694675603E-07,4.50203474368573E-06,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link10.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2.SLDASM/meshes/link10.STL,,脚-1,Origin_left_ankle,Axis_left_ankle,left_ankle,continuous,0,0,0.042,-1.5707963267949,0.015382738136815,-1.5707963267949,link9,0,0,1,,,,,,,,,,,,
