Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.03216566407948,-0.0429126674185152,0.041439579669673,0,0,0,0.0340904948264395,2.38152754817018E-05,-2.53210067440595E-08,-4.02031724383828E-09,2.36155308767803E-05,-1.52298381911433E-07,4.1783811657718E-05,0,0,0,0,0,0,package://Lono-v2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/base_link.STL,,身体-v3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00689880130825657,0.00560301458468711,2.20449688729391E-08,0,0,0,0.00309443148499912,2.07160037956476E-07,1.19557595019815E-07,7.57286527978893E-13,5.24480722731264E-07,1.69139937344693E-13,5.64408999410833E-07,0,0,0,0,0,0,package://Lono-v2/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link1.STL,,肩膀-2,Origin_right_shoulder,Axis_right_shoulder,right_shoulder,continuous,0.067386709134215,-0.0231309526675133,0.0335124845847195,0,-0.988303723929585,-1.5707963267949,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link2,0.0175000000000011,0.000106912131298334,-0.00109996347801291,0,0,0,0.0223939561935122,2.20304214500323E-06,-4.49986253228847E-22,-1.79994501291539E-21,4.31549369889667E-06,5.44434180107397E-09,3.14768180987023E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link2.STL,,arm-1;SG90-6;SG90-5,Origin_right_elbow,Axis_right_elbow,right_elbow,continuous,0,0.0199999999999995,0,1.5707963267949,1.28795142890796,1.5707963267949,link1,0,0,1,100,1,-1.07,1.07,,,,,,,,
link3,0.0130534702837715,0.000771383711666851,0.00895543078560034,0,0,0,0.0067406528892518,4.02753599503847E-07,2.15288873312311E-07,-1.89763210757922E-08,1.10396106524965E-06,3.69118256688419E-08,1.23482849993231E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link3.STL,,hand-1,Origin_right_wrist,Axis_right_wrist,right_wrist,fixed,0.0524625650026163,0.0126118525018895,-0.0164999999999998,1.32581766366802,-1.5707963267949,0,link2,0,0,0,100,1,-1.07,1.07,,,,,,,,
link4,-0.00689880130825494,0.00560301458468723,2.20449685624236E-08,0,0,0,0.00309443148499913,2.07160037956477E-07,1.19557595019815E-07,7.57286527767135E-13,5.24480722731265E-07,1.69139937295062E-13,5.64408999410835E-07,0,0,0,0,0,0,package://Lono-v2/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link4.STL,,肩膀-1,Origin_left_shoulder,Axis_left_shoulder,left_shoulder,continuous,-0.00311329086578512,-0.0231309526675128,0.0335124845847178,3.14159265358979,-1.34482873861954,-1.5707963267949,base_link,0,1,0,100,1,-1.07,1.07,,,,,,,,
link5,-0.0174999999999999,0.000106912131298337,-0.00109996347801126,0,0,0,0.0223939561935122,2.20304214500323E-06,9.36368453410027E-22,9.34714092184921E-23,4.31549369889667E-06,5.44434180107453E-09,3.14768180987024E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link5.STL,,arm-2;SG90-7;SG90-8,Origin_left_elbow,Axis_left_elbow,left_elbow,continuous,0,0.02,0,-1.5708,0.016747,-1.5708,link4,0,0,1,100,1,-1.07,1.07,,,,,,,,
link6,0.00363997413230474,-0.0191135193319028,0.000943547730111596,0,0,0,0.0068255447815818,4.11949497649874E-07,-2.27355700884038E-07,2.02221470824338E-08,1.12460402320927E-06,3.765307622812E-08,1.26395722455537E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link6.STL,,left_hand-1,Origin_left_wrist,Axis_left_wrist,left_wrist,continuous,-0.0349999999999998,0,0,1.71331798874057,1.5707963267949,0,link5,1,0,0,100,1,-1.07,1.07,,,,,,,,
link7,-0.00183150299939241,-5.27355936696949E-16,0.0310901743312165,0,0,0,0.0240848296985867,5.5470313973607E-06,-2.24993126614424E-22,-4.17650546187703E-08,8.26645791373806E-06,-2.68626903926596E-22,4.74175196354046E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link7.STL,,腿-1;SG90-10,Origin_right_hip,Axis_right_hip,right_hip,continuous,0.056137,-0.077381,0.033512,1.5708,1.5539,0,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
link8,-0.0140365826188949,-0.0172428390556006,0.000126297529599764,0,0,0,0.017535349924509,7.60744168398066E-06,-6.86979790117982E-07,8.63021006356447E-08,1.061345024053E-05,1.13734828874317E-07,4.50203499386829E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link8.STL,,右脚-1,Origin_right_ankle,Axis_right_ankle,right_ankle,continuous,0,0,0.042,-1.5707963267949,-0.2040026354608,-1.5707963267949,link7,0,0,1,100,1,-1.07,1.07,,,,,,,,
link9,-0.00183150299939141,-4.16333634234434E-16,0.0310901743312164,0,0,0,0.0240848296985867,5.5470313973607E-06,-9.52912065661088E-22,-4.1765054618771E-08,8.26645791373807E-06,4.75628852217991E-23,4.74175196354046E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link9.STL,,腿-2;SG90-9,Origin_left_hip,Axis_left_hip,left_hip,continuous,0.00813670913421472,-0.0773809526675139,0.0335124845847194,-1.5707963267949,1.52544273956685,-3.14159265358979,base_link,0,0,1,100,1,-1.07,1.07,,,,,,,,
link10,0.0140365865061575,-0.0172428392680891,0.000126300206101305,0,0,0,0.0175353461947104,7.60744266392081E-06,6.86979952414671E-07,-8.63012337015798E-08,1.06134493293437E-05,1.13735694675603E-07,4.50203474368573E-06,0,0,0,0,0,0,package://Lono-v2/meshes/link10.STL,1,1,1,1,0,0,0,0,0,0,package://Lono-v2/meshes/link10.STL,,脚-1,Origin_left_ankle,Axis_left_ankle,left_ankle,continuous,0,0,0.042,-1.5707963267949,0.015382738136815,-1.5707963267949,link9,0,0,1,,,,,,,,,,,,
